"","name","sex","total"
"1042","Maurice","M",12361
"1043","Jaelyn","F",12360
"1044","Britney","F",12317
"1045","Braydon","M",12315
"1046","Moses","M",12281
"1047","Ari","M",12270
"1048","Rocco","M",12240
"1049","Annalise","F",12235
"1050","Dana","F",12231
"1051","Yasmin","F",12229
"1052","Regina","F",12224
"1053","Linda","F",12223
"1054","Beckham","M",12222
"1055","Marie","F",12181
"1056","Scarlet","F",12181
"1057","Izaiah","M",12173
"1058","Janiyah","F",12169
"1059","Perla","F",12130
"1060","Chad","M",12095
"1061","Aleah","F",12084
"1062","Dorian","M",12080
"1063","Helena","F",12072
"1064","Gunnar","M",12023
"1065","Whitney","F",12021
"1066","Aileen","F",12004
"1067","Katrina","F",11988
"1068","Pierce","M",11988
"1069","Marisol","F",11973
"1070","Eddie","M",11956
"1071","Jamari","M",11945
"1072","Carl","M",11935
"1073","Kason","M",11933
"1074","Tara","F",11885
"1075","Ibrahim","M",11869
"1076","Aubrie","F",11861
"1077","Kash","M",11857
"1078","Elisabeth","F",11848
"1079","Rory","M",11846
"1080","Adelynn","F",11835
"1081","Abram","M",11827
